Model,Training Accuracy %,Testing Accuracy %
SVM,89.21161825726142,91.80327868852459
KNN,82.98755186721992,91.80327868852459
Naive Bayes,82.57261410788381,90.1639344262295
Logistic Regression,83.40248962655602,88.52459016393442
Random Forest,100.0,86.88524590163934
Stochastic Gradient Descent,84.64730290456431,85.24590163934425
Decision Tree,86.72199170124482,83.60655737704919
Perceptron,82.98755186721992,83.60655737704919
